name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
GJ 896A b,Confirmed,2.26,0.57,0.57,,,,,,,284.39,1.5,1.5,0.64282,0.00068,0.00068,0.35,0.19,0.19,69.2,26.0,26.0,,2022,2022-11-13,353.11,12.0,12.0,2455702.65,17.3,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,GJ 896A,352.966666684,19.937222244,10.2,,,,,6.2565,0.0051,0.0051,,,,0.43589,0.00047,0.00047,,,,M4,,,,,,,,,
HD 176051 b,Confirmed,1.5,0.3,0.3,,,,,,,1016.0,40.0,40.0,1.76,,,0.0,,,,,,0.117412,2010,2010-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,,,,,HD 176051,284.2583333,32.9013889,5.22,,,,,14.99,0.13,0.13,,,,0.9,0.2,0.2,,,,,,,,,,,IR Excess,,
HIP 1481 b,Confirmed,3.0,2.0,2.0,,,,,,,,,,2.0,,,,,,,,,,2022,2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,HIP 1481,4.608333342,-63.477500018,,,,,,40.82,,,,,,1.16,,,,,,F8V,0.045,,,,,,,,HD 1466
HIP 88399 b,Confirmed,6.0,3.0,3.0,,,,,,,,,,8.0,1.0,1.0,,,,,,,,2022,2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,HIP 88399,270.762500001,-51.648888914,,,,,,49.29,0.04,0.04,,,,1.29,,,,,,F6V,0.024,0.019,0.019,,,,,,
HIP 96334 b,Confirmed,5.0,2.0,2.0,,,,,,,,,,5.0,2.0,2.0,,,,,,,,2022,2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,HIP 96334,293.79166667,-69.975555582,,,,,,38.16,0.02,0.02,,,,1.0,,,,,,G3V,0.15,0.07,0.07,,,,,,
SDSS J080531+481233 A,Confirmed,60.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,2016,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,5400.0,400.0,400.0,,,,,,,,,,Published in a refereed paper,Astrometry,Radial Velocity,,"SDSS J080531 A, SDSS 080531 A",,,121.382694434,48.2091392616,,,,,,21.3756,0.4296,0.4296,,,,,,,,,,,,,,,,,,,
SDSS J080531+481233 B,Confirmed,66.28,14.0,14.0,,,,,,,740.43,10.0,10.0,0.82,1.6,1.6,0.423,0.019,0.019,111.85,1.5,1.5,,2016,2020-05-24,304.2,5.36,5.36,,,,,,,,,,,,,,,,,,,,,,6400.0,800.0,800.0,,,,,,,,,,Published in a refereed paper,Astrometry,Radial Velocity,,"SDSS J080531 B, SDSS 080531 B, 2M0805+48",,,121.382694434,48.2091392616,,,,,,21.3756,0.4296,0.4296,,,,,,,,,,,,,,,,,,,
TVLM 513-46546 b,Confirmed,0.38,0.24,0.24,,,,,,,220.0,5.0,5.0,0.3,0.0036,0.0036,0.0,,,71.0,38.0,38.0,,2020,2020-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,TVLM 513-46546,225.283333336,22.833888906,15.09,,,,,10.706,0.0085,0.0085,,,,0.08,,,,,,M8.5V,,,,,,,,,
WISE J0458+6434 A,Confirmed,57.0,28.0,28.0,,,,,,,15700.0,4400.0,4400.0,5.0,0.6,0.6,0.18,0.18,0.18,76.5,2.3,2.3,,2019,2022-12-10,110.0,110.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,WISEP J045853.90+643452 A,"CH4, H2O",,74.725000018,64.581111134,,,,,,9.24,0.15,0.15,,,,,,,,,,,,,,,,,,,
WISE J0458+6434 B,Confirmed,14.0,22.0,22.0,,,,,,,15700.0,4400.0,4400.0,5.0,0.6,0.6,0.18,0.18,0.18,76.5,2.3,2.3,,2019,2022-10-30,110.0,110.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,WISEP J045853.90+643452 B,,,74.725000018,64.581111134,,,,,,9.24,0.15,0.15,,,,,,,,,,,,,,,,,,,
