name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
11 Oph b,Confirmed,21.0,3.0,3.0,,,,,,,730000.0,365000.0,365000.0,243.0,55.0,55.0,,,,,,,1.675862,2007,2018-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,Oph 1622-2405 b,,11 Oph,245.6041667,-24.0872222,,,,,14.03,145.0,20.0,20.0,,,,0.0162,0.005,0.005,,,,M9,0.011,0.002,0.002,2375.0,175.0,175.0,,,"Oph 1622-2405, Oph 11A"
1RXS 1609 b,Confirmed,14.0,3.0,3.0,,,,1.7,,,,,,330.0,0.0,0.0,,,,,,,2.275862,2008,2018-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,4.0,Published in a refereed paper,Imaging,,,"1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609","CO, H2O, K",1RXS 1609,242.375,-21.0827778,,10.99,9.82,9.12,8.92,145.0,20.0,20.0,,,,0.73,0.05,0.05,1.35,,,K7V,0.011,0.002,0.002,4060.0,200.0,200.0,,,"1RXS1609, 1RXS J1609, 1RXS J160929"
1RXS J0342.5+1216 b,Confirmed,35.0,8.0,8.0,,,,,,,,,,19.8,,,,,,,,,,,2023-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,1RXS J0342.5+1216,55.633333344,12.272777788,,,,,,,,,,,,,,,,,,M4,,,,,,,,,
1RXS J235133.3+312720 b,Confirmed,32.0,6.0,6.0,,,,,,,,,,120.0,20.0,20.0,,,,,,,,2012,2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,1RXS J235133.3+312720,357.890308282,31.4563946913,13.6,,,,,,,,,,,0.45,0.05,0.05,,,,M2V,0.1,0.05,0.05,,,,,,2MASS J23513366+3127229
2M0045+16,Confirmed,25.0,4.6,4.6,,,,,,,,,,,,,,,,,,,,2019,2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Imaging,Spectrum,,,,,11.3392916738,16.5790555768,,,,,,15.4,0.05,0.05,,,,,,,,,,,,,,,,,,,
2M 0103-55 (AB) b,Confirmed,13.0,1.0,1.0,,,,,,,,,,84.0,,,,,,,,,,2013,2022-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,Delorme 1 (AB),H,2M 0103-55 (AB),15.9,-55.2656,,,7.5,,,47.2,3.1,3.1,,,,0.4,,,,,,M,0.03,,,,,,,,
2M0117-34,Confirmed,16.4,3.7,3.7,,,,,,,,,,,,,,,,,,,,2019,2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Imaging,Spectrum,,,,,19.4475000158,-34.056944451,,,,,,39.02,1.04,1.04,,,,,,,,,,,,,,,,,,,
2M 0219-39 b,Confirmed,13.9,1.1,1.1,,,,1.44,0.03,0.03,,,,156.0,10.0,10.0,,,,,,,,2015,2016-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,,,2M 0219-39,34.841666674,-39.423055569,,,,,,39.4,2.6,2.6,,,,0.11,0.01,0.01,0.27,0.01,0.01,M6,,,,3064.0,76.0,76.0,,,2MASS J0292210-3925225
2M0355,Confirmed,28.0,2.0,2.0,,,,1.22,0.02,0.02,,,,,,,,,,,,,,2008,2022-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527.0,14.0,14.0,,,,,,4.66,Published in a refereed paper,Imaging,Spectrum,Flux,"2MASS J03552337+1133437, 2MASS J0355+1133",CO,,58.8474050975,11.5621657883,,,,,,9.1203,0.0613,0.0613,,,,,,,,,,,,,,,,,,,
2M0418+21,Confirmed,47.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,2017,2023-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,2MASS J04183483+2131275,,,64.6451270116102,21.5243090164472,,,,,,48.8,,,,,,,,,,,,,,,,,,,,,
2M0437 b,Confirmed,4.0,,,,,,,,,,,,118.0,1.3,1.3,,,,,,,,2021,2021-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2M0437,69.3405544,26.850296,15.7,,,,,128.1,0.5,0.5,0.01,0.05,0.05,0.0165,0.0015,0.0015,0.84,0.11,0.11,,0.0025,0.0004,0.0004,3100.0,100.0,100.0,,,
2M 0441+23 b,Confirmed,7.5,2.5,2.5,,,,,,,,,,15.0,0.6,0.6,,,,,,,0.107143,2010,2016-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0441+23,70.4375,23.0308333,,,14.2,13.72,13.16,140.0,,,,,,0.02,,,,,,M8.5,0.001,,,,,,,,
2M0444,Confirmed,50.0,,,,,,,,,,,,,,,,,,,,,,2013,2022-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"2MASS J04442713+2512164, IRAS S04414+2506",,,71.11309,25.20456,,,,,,143.2,1.6,1.6,,,,,,,,,,,,,,,,,,,
2M0838+15 b,Confirmed,,,,,,,,,,,,,27.0,2.7,2.7,,,,,,,,2013,2021-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2M0838+15,129.550000004,15.187777785,,,,,,49.0,12.0,12.0,,,,,,,,,,T3,,,,,,,,,
2M0838+15 c,Confirmed,,,,,,,,,,,,,27.0,2.7,2.7,,,,,,,,2013,2021-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2M0838+15,129.550000004,15.187777785,,,,,,49.0,12.0,12.0,,,,,,,,,,T3,,,,,,,,,
2M1207 A,Confirmed,60.0,20.0,20.0,,,,,,,,,,42.0,2.0,2.0,,,,,,,,2004,2018-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"2M1207, 2MASS J12073346-3932539",,,181.887500011,-39.548333356,,,,,,52.4,1.1,1.1,,,,,,,,,,,,,,,,,,,
2M1207 b,Confirmed,5.5,0.5,0.5,,,,,,,,,,42.0,2.0,2.0,,,,,,,0.877863,2004,2023-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,"2MASS J12073346-3932539 b, 2M 1207 b, 2M1207 b, 2M1207B, 2MASS1207-3932 B, 2MASSW J1207334-393254 b, 2M 1207-39 b, TWA 27b","CH4, CO, He",,181.887500011,-39.548333356,,,,,,52.4,1.1,1.1,,,,,,,,,,,,,,,,,,,
2M 2140+16 b,Confirmed,20.0,20.0,20.0,,,,0.92,0.39,0.39,7340.0,584.0,584.0,3.53,0.15,0.15,0.26,0.06,0.06,46.2,8.7,8.7,0.1412,2010,2012-01-19,223.0,47.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2140+16,325.1208333,16.4216667,,,,,,25.0,10.0,10.0,,,,0.08,0.06,0.06,0.1,0.043,0.043,,,,,2300.0,80.0,80.0,,,
2M 2206-20 b,Confirmed,30.0,20.0,20.0,,,,1.3,0.18,0.18,8686.0,69.4,69.4,4.48,0.4,0.4,0.0,,,44.3,0.7,0.7,0.167979,2010,2012-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2206-20,331.5958333,-20.785,,,,,,26.67,2.63,2.63,,,,0.13,0.05,0.05,0.11,0.015,0.015,,,,,2350.0,80.0,80.0,,,
2M 2236+4751 b,Confirmed,12.5,1.5,1.5,,,,,,,,,,230.0,20.0,20.0,,,,,,,3.7,2016,2016-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,"CO, H2O",2M 2236+4751,339.104166675,47.861944471,12.5,,,,,63.0,,,,,,0.6,0.05,0.05,,,,K7,0.12,0.01,0.01,,,,,,
2MASS 0359+2009 b,Confirmed,20.0,5.0,5.0,,,,,,,,,,540.0,,,,,,,,,,2019,2021-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,,,2MASS 0359+2009,59.79166667,20.160000011,,,,,,117.76,2.3,2.3,,,,0.06,0.01,0.01,,,,M4.75,0.0075,0.0025,0.0025,2900.0,50.0,50.0,,,
2MASS 1534-29 b,Confirmed,47.0,3.0,3.0,,,,0.32,,,,,,,,,,,,,,,,2021,2023-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,,,2MASS 1534-29,246.058333338,0.487777791,25.0,,,,,,,,,,,,,,,,,T6V,,,,,,,,,
2MASS J0001+1535,Confirmed,33.0,4.0,4.0,,,,1.22,0.02,0.02,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725.0,5.0,5.0,,,,,,4.73,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J00011217+1535355,,,0.300687111371219,15.5932068139479,,,,,,31.6163,1.8013,1.8013,,,,,,,,,,,,,,,,,,,
2MASS J0030-1450,Confirmed,10.0,2.0,2.0,,,,1.36,0.04,0.04,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264.0,78.0,78.0,,,,,,4.12,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J0030300-145033,,,7.62555101004408,-14.842610024088,,,,,,26.7,3.3,3.3,,,,,,,,,,,,,,,,,,,
2MASS J0031+5749,Confirmed,24.0,7.0,7.0,,,,1.2,0.06,0.06,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343.0,58.0,58.0,,,,,,4.6,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J00310928+5749364,,,7.788700003096,57.82679724666,,,,,,11.6,1.4,1.4,,,,,,,,,,,,,,,,,,,
2MASS J00413538-5621127 A,Confirmed,30.0,,,,,,,,,,,,,,,,,,,,,,2009,2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,10.3974532026,-56.3535514379,,,,,,34.7133,0.9474,0.9474,,,,,,,,,,,,,,,,,,,
2MASS J00413538-5621127 B,Confirmed,15.0,,,,,,,,,45990.0,13500.0,13500.0,8.9,1.9,1.9,,,,,,,,2010,2022-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,10.3974532026,-56.3535514379,,,,,,34.7133,0.9474,0.9474,,,,,,,,,,,,,,,,,,,
